+2684530:  0
+0033423: 0100000000 0
+0033438: 0100000000 0
+0033427: 0100000000 8
+0033433: 0100000000 0
+0033429: 0100000000 0
+0033426: 0100000000 0
+0033425: 0100000000 0
+0033438: 0100000000 0
+0033425: 0100000000 8
+0033435: 0100000000 0
+0033427: 0100000000 8
+0033427: 0100000000 8
+0033435: 0100000000 8
+0033419: 0100000000 8
+0033435: 0100000000 0
+0033433: 0100000000 0
+0033431: 0100000000 8
+0033427: 0100000000 8
+0033429: 0100000000 0
+0001089: 0100000000 8
+0032333: 0100000000 8
+0033436: 0100000000 0
+0033432: 0100000000 8
+0033429: 0100000000 0
+0033462: 0100000000 0
+0033396: 0100000000 0
+0033425: 0100000000 0
+0033433: 0100000000 0
+0033430: 0100000000 0
+0033434: 0100000000 0
+0033424: 0100000000 0
+0033431: 0100000000 0
+0033424: 0100000000 0
+0033434: 0100000000 0
+0033429: 0100000000 8
+0033436: 0100000000 8
+0033423: 0100000000 0
+0033432: 0100000000 8
+0033423: 0100000000 0
+0033432: 0100000000 0
+0033431: 0100000000 8
+0033433: 0100000000 0
+0033426: 0100000000 8
+0033431: 0100000000 0
+0033431: 0100000000 0
+0033420: 0100000000 0
+0033436: 0100000000 0
+0033435: 0100000000 0
+0033424: 0100000000 0
+0033429: 0100000000 0
+0033433: 0100000000 8
+0033421: 0100000000 0
+0033436: 0100000000 0
+0033432: 0100000000 0
+0033427: 0100000000 0
+0033457: 0100000000 8
+0033404: 0100000000 0
+0033421: 0100000000 0
+0001089: 0100000000 0
+0032347: 0100000000 0
+0033431: 0100000000 0
+0033430: 0100000000 0
+0033427: 0100000000 0
+0033431: 0100000000 0
+0033422: 0100000000 0
+0033435: 0100000000 0
+0033431: 0100000000 8
+0033428: 0100000000 0
+0033429: 0100000000 0
+0033432: 0100000000 8
+0033420: 0100000000 0
+0033436: 0100000000 8
+0033433: 0100000000 0
+0033428: 0100000000 0
+0033428: 0100000000 8
+0033431: 0100000000 8
+0033427: 0100000000 0
+0033424: 0100000000 0
+0033437: 0100000000 0
+0033428: 0100000000 0
+0033431: 0100000000 8
+0033430: 0100000000 0
+0033427: 0100000000 8
+0033426: 0100000000 0
+0033436: 0100000000 0
+0033427: 0100000000 0
+0033435: 0100000000 8
+0033448: 0100000000 8
+0033405: 0100000000 0
+0033426: 0100000000 8
+0033436: 0100000000 0
+0033428: 0100000000 0
+0033431: 0100000000 0
+0033430: 0100000000 8
+0033429: 0100000000 0
+0033422: 0100000000 0
+0033439: 0100000000 8
+0001090: 0100000000 0
+0032334: 0100000000 0
+0033433: 0100000000 8
+0033429: 0100000000 0
+0033427: 0100000000 8
+0033424: 0100000000 8
+0033441: 0100000000 8
+0033424: 0100000000 8
+0033431: 0100000000 0
+0033434: 0100000000 0
+0033424: 0100000000 0
+0033430: 0100000000 0
+0033425: 0100000000 0
+0033434: 0100000000 0
+0033429: 0100000000 8
+0033435: 0100000000 0
+0033425: 010000FF00 0
+0033429: 0100000000 0
+0033426: 01000000FF 0
+0033433: 01000000FF 8
+0033429: 01000000FF 0
+0033434: 01000000FF 0
+0033431: 01000000FF 0
+0033425: 01000000FF 0
+0033424: 01000000FF 0
+0033434: 01000000FF 0
+0033430: 01000000FF 8
+0033433: 01000000FF 0
+0033427: 01000000FF 0
+0033427: 01000000FF 0
+0033425: 01000000FF 0
+0033437: 01000000FF 8
+0033428: 01000000FF 8
+0033432: 01000000FF 0
+0033429: 01000000FF 0
+0033428: 01000000FF 0
+0033424: 01000000FF 0
+0033438: 01000000FF 8
+0001090: 01000000FF 0
+0032338: 01000000FF 0
+0033430: 01000000FF 0
+0033430: 01000000FF 0
+0033427: 01000000FF 8
+0033432: 01000000FF 8
+0033422: 01000000FF 8
+0033435: 01000000FF 0
+0033432: 01000000FF 0
+0033428: 01000000FF 0
+0033428: 01000000FF 8
+0033432: 01000000FF 8
+0033421: 01000000FF 8
+0033436: 01000000FF 0
+0033432: 01000000FF 0
+0033429: 01000000FF 0
+0033429: 01000000FF 0
+0033431: 01000000FF 8
+0033420: 01000000FF 8
+0033440: 01000000FF 8
+0033429: 01000000FF 0
+0033427: 01000000FF 0
+0033433: 01000000FF 8
+0033429: 01000000FF 0
+0033419: 01000000FF 8
+0033442: 01000000FF 0
+0033427: 01000000FF 0
+0033426: 01000000FF 0
+0033434: 01000000FF 8
+0033428: 01000000FF 0
+0033426: 01000000FF 0
+0033426: 01000000FF 8
+0033436: 01000000FF 0
+0033428: 01000000FF 0
+0033432: 01000000FF 8
+0033429: 01000000FF 0
+0033428: 01000000FF 8
+0033422: 01000000FF 8
+0033440: 01000000FF 0
+0001088: 01000000FF 8
+0032337: 01000000FF 8
+0033434: 010000FFFF 0
+0033464: 010000FEFF 8
+0033391: 010000FEFF 8
+0033421: 010000FEFF 8
+0033443: 010000FEFF 8
+0033425: 010000FFFF 8
+0033430: 01000000FF 0
+0033433: 01000000FF 8
+0033426: 01000000FF 0
+0033419: 01000000FF 8
+0033444: 01000000FF 8
+0033424: 01000000FF 8
+0033430: 01000000FF 0
+0033434: 01000000FF 8
+0033423: 01000000FF 8
+0033425: 01000000FF 8
+0033441: 01000000FF 0
+0033423: 01000000FF 8
+0033431: 0100000000 8
+0033434: 0100000000 0
+0033425: 0100000000 0
+0033432: 0100000000 0
+0033422: 0100000000 0
+0033434: 0100000000 8
+0033430: 0100000000 0
+0033434: 0100000000 0
+0033425: 0100000000 0
+0033428: 0100000000 0
+0033425: 0100000000 0
+0033436: 0100000000 8
+0033429: 0100000000 0
+0033431: 0100000000 0
+0033463: 0100000000 0
+0033395: 0100000000 0
+0033423: 0100000000 0
+0033438: 0100000000 0
+0001088: 0100000000 8
+0032339: 0100000000 8
+0033431: 0100000000 0
+0033429: 0100000000 0
+0033427: 010000FE00 0
+0033424: 010000FF00 0
+0033438: 0100000000 0
+0033427: 0100000000 8
+0033432: 0100000000 0
+0033428: 0100000000 0
+0033428: 0100000000 0
+0033424: 0100000000 0
+0033436: 0100000000 0
+0033429: 0100000000 8
+0033432: 0100000000 0
+0033430: 0100000000 0
+0033428: 0100000000 8
+0033431: 0100000000 0
+0033419: 0100000000 0
+0033440: 0100000000 0
+0033428: 0100000000 0
+0033428: 0100000000 0
+0033432: 010000FE00 8
+0033430: 010000FEFF 0
+0033419: 0100000000 8
+0033443: 0100000000 0
+0033427: 0100000000 0
+0033427: 0100000000 0
+0033461: 0100000000 0
+0033400: 0100000000 0
+0033419: 0100000000 8
+0033443: 0100000000 0
+0033427: 01000000FF 0
+0033427: 01000000FF 0
+0033433: 01000000FF 8
+0033429: 01000000FF 0
+0033419: 01000000FF 8
+0033437: 01000000FF 0
+0033431: 01000000FF 0
+0001089: 01000000FF 0
+0032337: 01000000FF 0
+0033433: 01000000FF 0
+0033429: 01000000FF 8
+0033421: 01000000FF 8
+0033436: 01000000FF 0
+0033434: 01000000FF 8
+0033424: 01000000FF 0
+0033431: 01000000FF 8
+0033433: 01000000FF 0
+0033426: 01000000FF 0
+0033423: 01000000FF 8
+0033442: 01000000FF 8
+0033424: 01000000FF 0
+0033429: 01000000FF 8
+0033435: 01000000FF 0
+0033424: 01000000FF 0
+0033424: 01000000FF 0
+0033441: 01000000FF 8
+0033424: 01000000FF 0
+0033429: 01000000FF 0
+0033457: 01000001FF 8
+0033403: 01000001FF 0
+0033424: 01000001FF 0
+0033438: 01000001FF 0
+0033427: 01000001FF 0
+0033431: 01000001FF 0
+0033432: 01000001FF 8
+0033426: 01000001FF 8
+0033423: 01000001FF 8
+0033438: 010000FF00 0
+0033428: 0100000000 8
+0033429: 0100000000 8
+0033432: 0100000000 0
+0033427: 0100000000 8
+0033423: 0100000000 8
+0033438: 0100000000 0
+0033429: 0100000000 8
+0033429: 0100000000 8
+0001092: 0100000000 0
+0032344: 0100000000 0
+0033432: 0100000000 8
+0033427: 0100000000 8
+0033422: 0100000000 0
+0033438: 0100000000 0
+0033428: 0100000000 0
+0033432: 0100000000 0
+0033429: 0100000000 0
